FOO,BUY,0.5,SGP,01 Jan 2016,02 Jan 2016,200,100.25
BAR,SELL,0.22,AED,05 Jan 2016,07 Jan 2016,450,150.5
TSLA,BUY,0.15,EUR,05 Jan 2016,07 Jan 2016,1050,502.45
APPL,BUY,0.24,SEK,09 Jan 2016,13 Jan 2016,1152,865.45
XYZ,SELL,0.5,GBP,25 Jan 2016,25 Jan 2016,15,8.93
JPM,BUY,0.28,EUR,09 Sep 2018,09 Sep 2018,15000,135.24
DVN,BUY,0.10,EUR,09 Sep 2018,09 Sep 2018,142,41.37
DOV,BUY,0.45,AED,09 Sep 2018,08 Sep 2018,23,87.37
GPN,SELL,0.18,AED,09 Sep 2018,08 Sep 2018,95,121.5
WYNN,SELL,0.24,AED,09 Sep 2018,08 Sep 2018,148,131.75
